SCTG,DistanceGroup,Tonnage,Proportion,cumProporition
1,1,6901732.3,0.0689550131814389,0.0689550131814389
1,2,57452710.5,0.574008413777059,0.642963426958498
1,3,22129424.9,0.221094461411834,0.864057888370332
1,4,7149522.7,0.0714306800945462,0.935488568464878
1,5,1080734.2,0.0107975849782861,0.946286153443164
1,6,2784951.6,0.0278243730617702,0.974110526504935
1,7,426467.2,0.00426082179360265,0.978371348298537
1,8,241207.8,0.00240990034175418,0.980781248640291
1,9,248409.8,0.00248185532107622,0.983263103961367
1,10,342583.3,0.00342274010935498,0.986685844070722
1,11,55983.9,0.000559333569406677,0.987245177640129
1,12,13992.3,0.000139796675530091,0.987384974315659
1,13,17172.9,0.000171573960621963,0.987556548276281
1,14,112229.8,0.00112128477344018,0.988677833049721
1,15,190907.4,0.00190735046090301,0.990585183510624
1,16,136258.2,0.00136135184163534,0.99194653535226
1,17,166139.9,0.00165989906540753,0.993606434417667
1,18,152612.5,0.00152474719269427,0.995131181610362
1,19,68663.7,0.000686017094373012,0.995817198704735
1,20,143479.8,0.0014335026440058,0.99725070134874
1,21,6334.1,6.32838148463904e-05,0.997313985163587
1,22,8225.7,8.21827372131721e-05,0.9973961679008
1,23,6711.4,6.70534085284514e-05,0.997463221309328
1,24,10421.8,0.000104123910510745,0.997567345219839
1,25,3321,3.31800175407497e-05,0.99760052523738
1,26,8569.8,8.56206306295442e-05,0.997686145868009
1,27,977.9,9.77017138003586e-06,0.997695916039389
1,28,1344.7,1.34348598575869e-05,0.997709350899247
1,29,3093.4,3.09060723458461e-05,0.997740256971593
1,30,360.4,3.60074625765919e-06,0.997743857717851
1,31,192,1.91826659675517e-06,0.997745775984447
1,32,147.8,1.47666564062716e-06,0.997747252650088
1,33,2544,2.54170324070061e-05,0.997772669682495
1,34,327.4,3.2710441863419e-06,0.997775940726681
1,35,42.5,4.24616303969244e-07,0.997776365342985
1,36,764.9,7.64209437426059e-06,0.997784007437359
1,37,1408.6,1.40732829593195e-05,0.997798080720319
1,38,6222.6,6.21698214842122e-05,0.997860250541803
1,39,2845.8,2.84323077137806e-05,0.997888682849517
1,40,1926.4,1.92466081874436e-05,0.997907929457704
1,41,4719.1,4.71483952955591e-05,0.997955077853
1,42,1414.8,1.41352269848397e-05,0.997969213079985
1,43,633.6,6.33027976929207e-06,0.997975543359754
1,44,107,1.06903398881669e-06,0.997976612393743
1,45,240.2,2.39983144031559e-06,0.997979012225183
1,46,400.8,4.00438152072643e-06,0.997983016606704
1,47,117.9,1.17793558206997e-06,0.997984194542286
1,48,450.6,4.5019319192598e-06,0.997988696474205
1,49,585.1,5.84571763417423e-06,0.997994542191839
1,50,459.5,4.59085156879689e-06,0.997999133043408
1,51,991.8,9.90904588886345e-06,0.998009042089297
1,52,203.2,2.03016548156589e-06,0.998011072254778
1,53,163.4,1.63252480161352e-06,0.99801270477958
1,54,1025.4,1.02447425432956e-05,0.998022949522123
1,55,12825,0.000128134214080131,0.998151083736204
1,56,13754.6,0.00013742182151942,0.998288505557723
1,57,6229.5,6.22387591900331e-05,0.998350744316913
1,58,1454.3,1.45298703732346e-05,0.998365274187286
1,59,1653.4,1.65190728701823e-05,0.998381793260156
1,60,2903.2,2.90057894984355e-05,0.998410799049655
1,61,886.3,8.85499835783391e-06,0.998419654048013
1,62,6176.8,6.17122349731113e-05,0.998481366282986
1,63,1206.4,1.20531084496117e-05,0.998493419391435
1,64,18031.4,0.000180151209962142,0.998673570601398
1,65,8567.4,8.55966522970848e-05,0.998759167253695
1,66,4143.1,4.13935955052936e-05,0.9988005608492
1,67,4634.5,4.63031590763638e-05,0.998846864008276
1,68,4262.2,4.25835202535933e-05,0.99888944752853
1,69,6158.5,6.1529400188108e-05,0.998950976928718
1,70,3498.7,3.4955413239934e-05,0.998985932341958
1,71,7097.9,7.0914919151607e-05,0.999056847261109
1,72,7937.3,7.93013409292961e-05,0.999136148602039
1,73,3420.1,3.41701228518873e-05,0.999170318724891
1,74,6230.1,6.2244753773148e-05,0.999232563478664
1,75,4847.4,4.84302369849533e-05,0.999280993715649
